x;y
0;0,028884941
1;0,214948326
2;0,342414872
3;0,5689402
4;0,80862566
5;0,9
6;0,861034718
7;0,677723144
8;0,63296904
9;0,60422949
10;0,532110868
11;0,216269934
12;0,125435588
13;0,094976877
14;0,113474605
15;0,462838234
16;0,641243406
17;0,730584113
18;0,85
19;0,620662729
20;0,626542438
21;0,639968684
22;0,597989508
23;0,276008438
24;0,110261658
25;0,063579226
26;0,230836757
27;0,354093511
28;0,33191024
29;0,311985187
30;0,302469094
31;0,258671863
32;0,064338113
33;0,01892781
34;0,008274258
35;0,026000165
36;0,053914748
37;0,054428432
38;0,054027504
39;0,056112315
40;0,060315537
41;0,06838398
42;0,090250854
43;0,19
44;0,005547259
45;0,007074072
46;0,003307447
47;0,001184582
48;0,000544643
49;0,000607099
50;0,000624428
51;-1,12E-07
52;5,26E-11
53;6,59E-14
54;0
55;0
56;0
57;0
58;0
59;4,49E-13
60;1,67E-09
61;4,41E-06
62;0,1
63;0,01
64;0,190808385
65;0,504508365
66;0,647816803
67;0,672905073
68;0,676852793
69;0,84
70;0,728104021
71;0,778706454
72;0,580723362
73;0,361132616
74;0,083512882
75;0,03396546
76;0,102935234
77;0,117186544
78;0,121445411
79;0,127185767
80;0,134205803
81;0,141806228
82;0,151347148
83;0,309144917
84;0,542493499
85;0,635378546
86;0,78
87;0,575709467
88;0,42
89;0,500076084
90;0,510152254
91;0,519756062
92;0,528396619
93;0,535798728
94;0,542796562
95;0,54640926
96;0,633308287
97;0,808079548
98;0,85
99;0,694428109
100;0,454047656
101;0,349953907
102;0,312720711
103;0,372274786
104;0,535196786
105;0,598663054
106;0,78
107;0,482410306
108;0,387430546
109;0,372282555
110;0,373859844
111;0,267335257
112;0,084293825
113;0,019060587
114;4,18E-05
115;1,04E-08
